"id";"ticker";"date";"sector";"52WeekChange";"ask";"bid";"52WeekHigh";"52WeekLow";"dailyOpen";"previousClose";"dailyVolume";"quickRatio";"10DayAverageVolume";"marketCap";"dayHigh";"dayLow"
1;"AAPL";"2023-07-11";"Technology";29.27;188.24;188.12;194.48;124.17;189.16;188.61;46509718;0.76;51012280;2958250000000;0.0;0.0
2;"MSFT";"2023-07-11";"Technology";31.56;332.57;332.52;351.47;213.43;331.06;331.83;26635569;1.66;22791880;2472080000000;0.0;0.0
3;"GOOG";"2023-07-11";"Communication Services";4.92;117.71;117.65;129.55;83.45;116.76;116.87;17940869;2.2;21102290;1491680000000;0.0;0.0
4;"AMZN";"2023-07-11";"Consumer Cyclical";16.65;128.93;128.87;146.57;81.43;127.75;127.13;49842486;0.69;45253080;1321330000000;0.0;0.0
5;"NVDA";"2023-07-11";"Technology";179.64;424.22;423.77;439.9;108.13;424.81;421.8;28118201;2.67;37582070;1047400000000;0.0;0.0
6;"TSLA";"2023-07-11";"Consumer Cyclical";13.82;269.85;269.83;314.67;101.81;268.65;269.61;91620776;0.93;126463980;855099000000;0.0;0.0
7;"BRK-B";"2023-07-11";"Financial Services";23.75;343.59;343.02;344.07;259.85;341.23;341.13;2688687;1.29;2894880;749899000000;0.0;0.0
8;"META";"2023-07-11";"Communication Services";82.45;298.2;298.45;300.18;88.09;293.9;294.1;26587730;1.91;25815500;764437000000;0.0;0.0
9;"V";"2023-07-11";"Financial Services";17.83;241.0;240.06;240.7;174.6;238.81;238.16;3855989;1.08;5552600;503808000000;0.0;0.0
10;"UNH";"2023-07-11";"Healthcare";-7.65;463.5;462.89;558.1;445.68;462.37;463.05;3086179;0.72;3674920;430965000000;0.0;0.0
11;"LLY";"2023-07-11";"Healthcare";36.26;439.77;438.59;469.87;296.32;450.0;453.16;3569097;0.79;2720950;417101000000;0.0;0.0
12;"WMT";"2023-07-11";"Consumer Defensive";23.35;154.8;154.65;159.12;120.06;154.77;154.88;3799975;0.19;5214650;416448000000;0.0;0.0
13;"JPM";"2023-07-11";"Financial Services";31.73;147.84;147.42;147.82;101.28;146.34;145.15;11235426;0.0;0;0;0.0;0.0
14;"JNJ";"2023-07-11";"Healthcare";-9.58;158.77;158.4;181.04;150.11;159.13;159.51;6606479;0.68;6079380;412237000000;0.0;0.0
15;"XOM";"2023-07-11";"Energy";24.91;105.95;105.89;119.92;80.69;105.26;104.69;12547902;1.07;13844900;428435000000;0.0;0.0
16;"MA";"2023-07-11";"Financial Services";23.02;398.19;397.2;398.46;276.87;393.62;392.16;2105561;0.77;2429330;376967000000;0.0;0.0
17;"PG";"2023-07-11";"Consumer Defensive";1.63;147.98;147.86;158.11;122.18;148.73;148.86;4740060;0.34;6665450;349020000000;0.0;0.0
18;"AVGO";"2023-07-11";"Technology";83.1;882.05;880.0;921.78;415.07;881.11;877.73;2549460;1.94;2138310;364009000000;0.0;0.0
19;"ORCL";"2023-07-11";"Technology";64.04;114.9;114.88;127.54;60.78;114.2;113.98;6116827;0.78;7992870;311814000000;0.0;0.0
20;"HD";"2023-07-11";"Consumer Cyclical";9.22;314.5;313.56;347.25;265.61;312.91;310.28;2883048;0.22;3379690;315347000000;0.0;0.0
21;"MRK";"2023-07-11";"Healthcare";15.92;108.94;108.69;119.65;84.52;109.48;109.96;6056552;0.95;6894200;275820000000;0.0;0.0
